run_id,level,score_mode,metric,point,ci_low,ci_high,std,iterations
ae_mse_l128,image,mse,auroc,0.9103786666666668,0.8914666295678756,0.9281518705094844,0.0094300886472584,1000
ae_mse_l128,image,mse,accuracy,0.774,0.75,0.798,0.0124948469458493,1000
ae_mse_l128,image,mse,precision,0.9763636363636364,0.9628858549345026,0.987250701655212,0.0065763332072358,1000
ae_mse_l128,image,mse,recall,0.716,0.6865656834873253,0.7477639310332731,0.0156373430838762,1000
ae_mse_l128,image,mse,f1,0.8261538461538461,0.8052282462213178,0.8463932054442181,0.010827634513578,1000
ae_mse_l128,image,mse,fpr,0.052,0.027445639734493,0.0809798887462558,0.0143540134560714,1000
ae_mse_l128,image,l1,auroc,0.8474560000000001,0.8226947661426495,0.8700206622346669,0.0126759589794941,1000
ae_mse_l128,image,l1,accuracy,0.703,0.675,0.731,0.0139384400530012,1000
ae_mse_l128,image,l1,precision,0.9557344064386318,0.9374907907662082,0.972337440905216,0.0090898753496876,1000
ae_mse_l128,image,l1,recall,0.6333333333333333,0.6005260370649811,0.6666776315789473,0.0171570364182535,1000
ae_mse_l128,image,l1,f1,0.7618283881315157,0.7340483334602936,0.7863481511317565,0.0131206452322603,1000
ae_mse_l128,image,l1,fpr,0.088,0.0552823240589198,0.123517500246946,0.0173901058999541,1000
ae_mse_l128,image,ssim_error,auroc,0.7594613333333333,0.7225899679032722,0.7948536046328506,0.0178789712550691,1000
ae_mse_l128,image,ssim_error,accuracy,0.587,0.556,0.617,0.0158498750006912,1000
ae_mse_l128,image,ssim_error,precision,0.9160493827160494,0.8877757304630695,0.9423572019052868,0.0136020585686221,1000
ae_mse_l128,image,ssim_error,recall,0.4946666666666666,0.4592763130850058,0.5313394423500429,0.0188464998597448,1000
ae_mse_l128,image,ssim_error,f1,0.6424242424242425,0.6095195114456906,0.6740242387024528,0.0169878573372053,1000
ae_mse_l128,image,ssim_error,fpr,0.136,0.0950186003255056,0.1814805399719495,0.0214697012454249,1000
ae_mse_l128,image,mse_ssim_score,auroc,0.7697493333333334,0.736089217529097,0.8029577057289494,0.0172181415484376,1000
ae_mse_l128,image,mse_ssim_score,accuracy,0.603,0.57,0.632,0.015591577735954,1000
ae_mse_l128,image,mse_ssim_score,precision,0.9212410501193318,0.8935146787783044,0.9444476520400308,0.013185261954574,1000
ae_mse_l128,image,mse_ssim_score,recall,0.5146666666666667,0.4767562218657836,0.5500805336301693,0.0184078173028564,1000
